NO,설치장소,전화번호,도로명주소,지번주소
1,(재)서울기독교청년회,02-738-7799,서울특별시 종로구 종로 69,서울특별시 종로구 종로2가 9 서울 YMCA 
2,(주)동아서울시네마,02-745-4231,서울특별시 종로구 삼일대로 428 (낙원동),서울특별시 종로구 낙원동 288 낙원상가 
3,(주)동아서울시네마,02-745-4231,서울특별시 종로구 삼일대로 428 (낙원동),서울특별시 종로구 낙원동 288 낙원상가 
4,(주)동아서울시네마,02-745-4231,서울특별시 종로구 삼일대로 428 (낙원동),서울특별시 종로구 낙원동 288 낙원상가 
5,(주)트랜스코스모스코리아종로센터,02-790-8971,"서울특별시 종로구 창경궁로 120, 종로플레이스 4층 (인의동)",서울특별시 종로구 인의동 28-2 종로플레이스 4층
6,100주년기념관,02-744-0103,서울특별시 종로구 대학로3길 29 (연지동),서울특별시 종로구 연지동 135 
7,22경찰경호대,02-770-0342,서울특별시 종로구 자하문로17길 7 (통인동),서울특별시 종로구 통인동 10 
8,22경찰경호대,02-770-0342,서울특별시 종로구 자하문로17길 7 (통인동),서울특별시 종로구 통인동 10 
9,CGV대학로,02-766-3211,서울특별시 종로구 대명길 28 (명륜2가),서울특별시 종로구 명륜2가 41-9 대학로CGV 
10,YBM종로센터,02-2278-0509,서울특별시 종로구 종로 104,서울특별시 종로구 종로2가 55-1 YBM 
11,YBM종로센터,02-2278-0509,서울특별시 종로구 종로 104,서울특별시 종로구 종로2가 55-1 YBM 
12,가회동주민센터,02-2148-5212,서울특별시 종로구 북촌로 35,서울특별시 종로구 가회동 156 가회동주민센터 
13,강북삼성병원,02-2001-2815,"서울특별시 종로구 새문안로 29, 강북삼성병원 (평동)",서울특별시 종로구 평동 108-1 강북삼성병원 
14,경기상업고등학교,02-737-6490,서울특별시 종로구 자하문로 136 (청운동),서울특별시 종로구 청운동 89-3 경기상업고등학교 
15,경복고등학교,02-397-5399,서울특별시 종로구 자하문로28가길 9 (청운동),서울특별시 종로구 청운동 89-9 경복고등학교 
16,경복궁관리소,031-3700-0010,서울특별시 종로구 사직로 161,서울특별시 종로구 세종로 1-1 경복궁 
17,경복궁관리소,031-3700-0010,서울특별시 종로구 사직로 161,서울특별시 종로구 세종로 1-1 경복궁 
18,경복궁관리소,031-3700-0010,서울특별시 종로구 사직로 161,서울특별시 종로구 세종로 1-1 경복궁 
19,경복궁관리소,031-3700-0010,서울특별시 종로구 창의문로 12,"서울특별시 종로구 궁정동 1-1 냉천정,칠궁,삼락당"
20,경복궁관리소,031-3700-0010,서울특별시 종로구 사직로 161,서울특별시 종로구 세종로 1-1 경복궁 
21,경복궁관리소,031-3700-0010,서울특별시 종로구 사직로 161,서울특별시 종로구 세종로 1-1 경복궁 
22,경복궁관리소,031-3700-0010,서울특별시 종로구 사직로 161,서울특별시 종로구 세종로 1-1 경복궁 
23,경복궁관리소,031-3700-0010,서울특별시 종로구 사직로 161,서울특별시 종로구 세종로 1-1 경복궁 
24,경복궁국립민속박물관,02-3700-3913,서울특별시 종로구 세종로 1 국립민속박물관,서울특별시 종로구 세종로 1-1 국립민속박물관 
25,경복궁역(3호선),02-6110-3271,"서울특별시 종로구 사직로 지하 130, 3호선 경복궁역 (적선동)",서울특별시 종로구 적선동 81-1 3호선 경복궁역 
26,경신고등학교,02-762-0393,서울특별시 종로구 혜화로 74 (혜화동) 경신중고등학교,서울특별시 종로구 혜화동 5-119 경신중고등학교 
27,경신중학교,02-762-0395,서울특별시 종로구 혜화로 74 (혜화동) 경신중고등학교,서울특별시 종로구 혜화동 5-119 경신중고등학교 
