노선번호,기점,경유지,종점,운영횟수,기점첫차,종점첫차,기점막차,종점막차,유의사항,기준일
1,양평터미널,회현개군천서리보통리대신후포오학,여주터미널,6,06:10,,20:10,,,2020-11-23
1-1,양평터미널,회현개군천서리곡수삼거리옥촌대신오학,여주  곡수 터미널,2,11:40,,16:10,,,2020-11-23
1-10,여주터미널,오학후포대신보통리천서리개군회현,양평터미널,4,07:50,,21:30,,,2020-11-23
1-11,여주 곡수 터미널,오학대신곡수삼거리송촌리천서리회현리양평시장,양평터미널,2,11:30,,19:10,,,2020-11-23
1-12,여주 이포 터미널,오학대신천서리이포개군회현,양평터미널,1,09:30,,,,,2020-11-23
1-13,여주  지평 터미널,오학대신곡수삼거리옥현지평광탄용문백안리양평병원,양평터미널,3,07:30,,18:00,,,2020-11-23
1-18,대신터미널,율촌리,도롱리 종점,1,07:00,07:05,,,,2020-11-23
1-19,대신터미널,보통2리,양촌리 종점,1,07:10,07:15,,,,2020-11-23
1-2,양평터미널,회현개군이포천서리대신오학,여주  이포 터미널,1,09:50,,,,,2020-11-23
1-23,양평터미널,양평병원백안리용문광탄지평옥현곡수삼거리초현리,대신터미널,1,12:30,,,,,2020-11-23
1-3,양평터미널,양평병원백안리용문광탄지평옥현곡수삼거리대신오학,여주  지평 터미널,1,16:50,,,,,2020-11-23
1-30,여주터미널,오학후포대신보통리천서리개군회현,양평터미널,3,16:20,,20:10,,,2020-11-23
1-31,양평터미널,회현개군천서리곡수삼거리옥촌대신오학,여주  곡수 터미널,6,07:10,,19:20,,,2020-11-23
1-33,양평터미널,양평병원백안리용문광탄지평옥현곡수삼거리대신오학,여주  지평 터미널,4,08:00,,15:20,,,2020-11-23
1-4 벽 ,양평터미널,양평고교도곡3리도곡1리.양평동초교,도곡3리,2,07:30,11:00,07:45,11:15,,2020-11-23
1-41,여주 곡수 터미널,오학대신곡수삼거리송촌리천서리회현리양평시장,양평터미널,6,08:20,,20:50,,,2020-11-23
1-42,여주 이포 터미널,오학대신천서리이포개군회현,양평터미널,2,12:30,,19:30,,,2020-11-23
1-43,여주  지평 터미널,오학대신곡수삼거리옥현지평광탄용문백안리양평병원,양평터미널,4,09:00,,16:40,,,2020-11-23
1-5 벽 ,양평터미널,양평동초교도곡.리도곡3리양평고교,도곡3리,2,15:40,15:55,17:30,17:45,,2020-11-23
1-53,양평터미널,양평병원백안리용문광탄지평옥현곡수삼거리초현리,대신터미널,1,09:20,,,,,2020-11-23
1-6,대신터미널,천서리이포개군회현,양평터미널,3,11:10,,21:10,,,2020-11-23
1-63,대신터미널,초현리곡수삼거리옥현지평광탄용문백안리양평병원,양평터미널,1,10:40,,,,,2020-11-23
1-7 벽 ,양평터미널,양평군청양평시장벽산A.백안리굴달리농촌지도소,백안3리,3,07:50,08:00,17:40,17:55,,2020-11-23
1-8,대신터미널,율촌리,도롱리 종점,1,17:30,17:35,,,,2020-11-23
1-9,대신터미널,보통2리,양촌리 종점,2,13:30,13:35,17:50,17:55,,2020-11-23
10,용두리 터미널,가현1리가현2리,가현리,3,07:40,07:50,18:40,18:50,,2020-11-23
10-1 벽 ,용두리 터미널,다대2리다대1리삼성리,신론리. 새터종점,4,08:10,08:30,18:00,18:20,,2020-11-23
