노선 아이디,노선명,기점노드 아이디,종점노드 아이디,기점정류장,종점정류장,지자체코드,지자체명
252000001,200,252000889,252000843,안목,안목커피거리,252,강릉시
252000004,207,252000611,252000612,허균.허난설헌기념공원,허균.허난설헌기념공원,252,강릉시
252000005,300,252000173,252000915,공단,향호리,252,강릉시
252000007,302,252000173,252000915,공단,향호리,252,강릉시
252000009,315,252001135,252000290,가톨릭관동대학교,가톨릭관동대학교,252,강릉시
252000010,201,252000889,252000843,안목,안목커피거리,252,강릉시
252000011,101,252000669,252000888,안목.강릉항,안목.강릉항,252,강릉시
252000012,102,252000669,252000888,안목.강릉항,안목.강릉항,252,강릉시
252000014,104,252000889,252000843,안목,안목커피거리,252,강릉시
252000015,104-1,252000889,252000843,안목,안목커피거리,252,강릉시
252000016,104-2,252000889,252000843,안목,안목커피거리,252,강릉시
252000018,109,252000316,252000315,강릉시외.고속터미널,강릉시외.고속터미널,252,강릉시
252000019,110,252001075,252001074,강릉역건너편,강릉역,252,강릉시
252000020,111,252000173,252000971,공단,공단,252,강릉시
252000021,111-1,252000173,252000971,공단,공단,252,강릉시
252000022,112,252000173,252000971,공단,공단,252,강릉시
252000023,113,252000173,252000971,공단,공단,252,강릉시
252000025,115,252000173,252000971,공단,공단,252,강릉시
252000026,116,252000173,252000971,공단,공단,252,강릉시
252000027,117,252000173,252000971,공단,공단,252,강릉시
252000028,118,252000173,252000971,공단,공단,252,강릉시
252000029,203,252000889,252000843,안목,안목커피거리,252,강릉시
252000030,204,252000390,252000390,내곡동주민센터,내곡동주민센터,252,강릉시
252000031,205,252000173,252000971,공단,공단,252,강릉시
252000032,211,252000889,252000843,안목,안목커피거리,252,강릉시
252000034,222,252000889,252000843,안목,안목커피거리,252,강릉시
252000035,223,252000889,252000290,안목,가톨릭관동대학교,252,강릉시
252000036,224,252000889,252000843,안목,안목커피거리,252,강릉시
252000037,227,252000119,252000119,남항진해변,남항진해변,252,강릉시
252000039,228,252000119,252000119,남항진해변,남항진해변,252,강릉시
252000048,328,252000979,252000407,주문진시외버스터미널,주문진시외버스터미널,252,강릉시
252000049,501,252000669,252000888,안목.강릉항,안목.강릉항,252,강릉시
252000050,502,252000669,252000888,안목.강릉항,안목.강릉항,252,강릉시
252000051,503,252000669,252000888,안목.강릉항,안목.강릉항,252,강릉시
252000052,504,252000669,252000888,안목.강릉항,안목.강릉항,252,강릉시
252000053,505,252000669,252000888,안목.강릉항,안목.강릉항,252,강릉시
252000054,507,252000173,252000971,공단,공단,252,강릉시
252000055,508,252000669,252000888,안목.강릉항,안목.강릉항,252,강릉시
252000056,509,252000889,252000843,안목,안목커피거리,252,강릉시
252000057,510,252000889,252000843,안목,안목커피거리,252,강릉시
252000058,512,252000173,252000971,공단,공단,252,강릉시
